oare_id,source,match_key,akkadian,english,confidence,src_len,tgt_len,ratio
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",iš-tí tap-pá-e-a lá-pì-it ì-lí-šu-gan dumu na-ni ṣa-ba-at-ma pá-šu-ra-am pá-ni-a-ma ša-dí-in,seize ili-sukkal son of nanni and make him hand over the good quality retail goods at once.,20,10,17,1.7
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,pá-ni-im-ma šé-bi4-lam lu-qú-tám ša šé-pí-kà za-ki-a-ma tí-ib-a-ma,"clear the goods from your own caravan, set out and come here.",20,7,12,1.714
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,ú-ṣú-ur-ša-a-šùr ub-lá-ku-nu-tí ig-ri sà-ri-dim ša-bu mì-ma lá ta-da-na-šu-um,he has been paid the wages for a donkeydriver; do not give him anything.,20,8,14,1.75
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",a-i-a-tum ma-áš-kà-na-tù-a e-la ma-la ma-áš-kà-tám,should i make another deposit on top of that?,20,5,9,1.8
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",e-ra-bi-kà-ma ki-ma šu-ul-mì-kà šé-bi4-lá-am šu-ma a-ḫi,"if you are truly my brother, do not make me angry.",20,6,11,1.833
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",bi4-il5 šu-ma a-ḫu-a-a a-tù-nu ḫi-da-ma gi-mì-lam i-ṣé-ri-a,"if you are truly my brothers, take care cpd do me this favour.",20,7,13,1.857
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",ša dingir i-ṣí-ra-ku-ni lá ta-tù-ar ta-tù-ar-ma ta-ḫa-li-iq,do not renounce the decision that the god has drawn up for you.,20,7,13,1.857
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",lá-pu-ta-ku-ni i-na ni-kà-sí le-eš-ku-nu ù a-ta 6 ma-na 8,"the tin for which i was booked in the tablet, let them claim that at the accounting.",20,9,17,1.889
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,tù-lá-ma-an a-na a-wi-li aḫ-ša-aḫ-ma al-qé,"i wanted it for the men, so i took it.",20,5,10,2.0
d60df513-c13c-44d3-961c-27e98700a132,archive_alias,KUG 48,a-wa-at a-lim{ki} lá tí-de8 a-na-kam,don't you know the state of affairs in the city?,20,5,10,2.0
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",šé-bi4-lá-am a-pu-tum qá-tí a-na ni-kà-sí i-ta-dí,"please, let my share be deposited at the time of the accounting.",20,6,12,2.0
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",a-na 25 ḫa-am-ša-tim šu-ma lá i-ma-ga-ar-ku-nu a-na 30,"if he does not agree with you, then draw it up for 30 or 35 weeks.",20,8,16,2.0
e1b37ff6-1fe1-4d64-96de-9167ebd74e94,excavation_match,Kt c/k 470+767,mì-ma a-nim i ma-a-ma áš-qúl,all this i paid in mama.,20,5,6,1.2
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,lu-bi4-il5 šu-ma lá-šu a-šar wa-áš-bu šé-bi4-lá-šu-um,"if he is absent, then send it to him where he is staying.",20,6,13,2.167
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,la ta-da-na-šu-um i-na ša šé-pì-šu,he took a lot of tin from his own carav an.,20,5,11,2.2
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",3 gín la-dí a šu-ma la i-ma-gu5-ru sà-li-a-ma a-mì-šál a-we-el,"if they do not agree with you, then implore them that i may stand only for half a share of a man.",20,10,22,2.2
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",gi-mì-lam i-ṣé-ri-a šu-ku-na iḫ-da-ma a-na mì-šál a-we-el la-zi-iz a-ni-tum la a-ni-tum té-er-ta-ak-nu,take care to have me stand only for half a share of a man send me word whether this is so or not as soon as possible.,20,12,27,2.25
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,gín 15 še wa-ṣí-tum ta-áš-pu-ra-ma ú-ṣí-ib 5.5 ma-na kù.babbar ša,"the export duty was 1/2 shekel 15 grains; you wrote me about it, and i added it.",19,10,17,1.7
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",a-na a-šùr-na-da pì-iq-da ù túg.ḫi.a ma-lá ta-le-e-a-ni ad-ma-ta-ni,"also, make him take as many textiles as cp investment as you ccp.",19,8,13,1.625
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,šu-ma ḫa-ra-šu a-ni an.na-ki ù túg.ḫi-tí-a i-na ṣé-er dam.gàr ke-nim a-na u4-me id-a dam.gàr,"if he is on a journey, well, then entrust my tin and my textiles with a trustworthy agent in commission . on fixed terms.",19,14,24,1.714
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",i pá-ni-e-ma li-li-kam iš-tí kù.babbar-pí-a 4.5 ma-na ša ku-ru-ub-ištar ba-áb-tám e-zi-ba-ku-nu-tí-ni,together with my other silvet i left 4 1/2 minas belonging to kurub-istar as an outstanding claim with you.,19,11,19,1.727
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",a-wa-at ì-lí ú-ṣú-ur a-na ni-ki-iš-tim,"please, please heed the words of the gods!",19,5,8,1.6
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,ma-na 1.5 gín 8 gín kù.babbar iš-tí dumu,i borrowed 8 shekels of silver from the son of abu-salim and his partner.,19,8,14,1.75
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",an.na a-na illat šu-ku-un ší-im urudu ša a-na a-mu-re-e áš-qú-lu i-na ṭup-pì-im,"the price of the copper, which i paid to the amorites, has been booked in the tablet together with my partners.",19,12,21,1.75
d60df513-c13c-44d3-961c-27e98700a132,archive_alias,KUG 48,il5-qé an.na 1 gú ki ša-lim-a-ḫi-im a-na u4-me ni-il5-qé-ma a-na pu-ru-uš-ḫa-tim ú-šé-ri-ib-ma iḫ-ta-al-qá-ni,"we have borrowed tin, 1 talent, from alim-ahum on fixed terms, and he brought that into burushaddum where it was lost for me.",19,13,23,1.769
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,ḫu-ša-e i ša-am-ší tù-uṣ-ú ta-al-qé kù.babbar-áp-šu-nu 4 gín 0.5,the day you left you took 5 minas of scrap metal worth 4 shekels of silver.,19,9,16,1.778
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,an.na ma-dam il5-té-qé i-na túg.ḫi-tí-a ma-aṭ-ú-tim li-iq-a-ma a-na ni-kà-sí-a qá-tí,out of the textiles take those of lesser quality and deposit them as my share on my account.,19,10,18,1.8
19814b8c-594e-4da3-9611-fa41b6697ed0,excavation_match,Kt c/k 766,gín kù.babbar é ub-ri i-na ur-šu 2 gín kù.babbar i-na ṣa-ú-dim im-ṭí,half a shekel of silver for the inn in uršu. 2 shekels of silver were lost during refining.,19,12,18,1.5
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",wa-áš-ba-ku-ma ù ni-kà-sí ù-ša-qal kà-ra-am mu-ùḫ-ra-ma iš-tí kà-ri-im e-na-na-tim er-ša-nim-ma a-na kù.babbar 1 ma-na-um,"appeal to the colony authorities and ask for clemency for me from the colony, so that for the silver i may deposit 3 shekels per mina.",19,14,26,1.857
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,šu-ištar al-qé šu.nígin 3 ma-na kù.babbar šà.ba 7.5 gín ni-is-ḫa-tim áš-qúl iš-tù ša-du-ú-tum ga-am-ra-at-ni 1,"thereof i paid 7 1/2 shekels as import duty; since the (money for the) transport tariff had been spent, i paid the balance of 1 shekel of silver.",19,15,28,1.867
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",gín an.na ni-a-am i-na ni-kà-sí šu-ku-un 2 ma-na 13.33333,then you too may claim 6 minas 8 shekels of tin belonging to us at the accounting.,19,9,17,1.889
19814b8c-594e-4da3-9611-fa41b6697ed0,excavation_match,Kt c/k 766,12 gín urudu é ub-ri 12 gín urudu i-tí-tù-ri-im 12 gín urudu i bu-ul-bu-ul-ḫi-im,12 shekels of copper for the inn. 12 shekels of copper at the bridge. 12 shekels of copper in bulbulhum.,19,14,20,1.429
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,ku-un-kà-ma šé-bi-lá-nim ki-ma ú-ra-am a-na ma-mì-tim la i-ṣa-bu-tù-kà-ni kù.babbar i-na šé-bu-lim ší-bi,in order that they cannot seize you. tomorrow to make you swear an oath you must have witnesses when the silver is sent.,19,12,23,1.917
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,i-ba-ší kù.babbar-ap a-wi-lim a-na na-ru-qí-im,do not use the man's silver as a joint-stock investment.,19,5,10,2.0
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,gín kù.babbar a-pu-ul ší-tí kù.babbar-pì-kà 2.83333,the rest of your silver amounts to 5/6 minas 1 1/2 shekel.,19,6,12,2.0
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",a-dì-na-kum um-ma a-ta-ma a-na ru-ba-im a-qí-áš ù 2 ma-na ḫu-ša-e uṣ-ba-ku-um,"you said: ""i shall give them as a gift to the king."" i furthermore added for you 2 minas of scrap metal.",19,11,22,2.0
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,al-qé 16 gín 10 5 še kù.babbar i lu-qú-tim ša šé-ep,i also still had a claim of 16 shekels 15 grains of silver from the goods transported by the son of irnuid.,19,11,22,2.0
19814b8c-594e-4da3-9611-fa41b6697ed0,excavation_match,Kt c/k 766,0.33333 gín i-na a-ru-wa-ar é ub-ri 10,one-third shekel (of silver) for the inn in aruwar.,19,7,9,1.286
66f1aadc-9fdb-425b-af11-ba944cc9c683,excavation_match,Kt c/k 216,<gap> 5 du-ul-ba-tim ú sà-ḫe-er-tám a pá-na-kà 5 du-ul-ba-tim ú sà-ḫe-er-tám i-ḫu-ma-ḫi-im a-na {d}en.líl-ba-ni 0.33333 ma-na urudu,one-third of a mina of copper for where our donkeys were standing in humahum. 15 shekels of copper in zurzu.,19,17,20,1.176
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,i-na pá-ni-im ṭup-pí-a áš-pu-ra-ku-nu-tí um-ma a-na-ku-ma an.na ù túg.ḫi.a a-na ì-lí-a-lim dí-na mì-ma,"in my former letter i wrote you as follows: ""give the tin and textiles to ili-alum."" but do not give him anything!",18,13,22,1.692
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",šu-uk-na a-na ás-qú-dim qí-bi4-ma šu-ma puzur4.ištar a-ta-ma té-bi-ir ší-bi4 3 šu-ku-šu-um,"to asgndum: if puzur-ištar <is absent>, then hand it over personally to him set 3 witnesses for him.",18,11,18,1.636
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,ta-be-e-lá a-na ì-lí-a-lim qí-bi4-ma ší-tí kù.babbar pá-ni-im 2 ma-na i-na,"to ili-alum: send me the rest of the previous silver shipment, minas as soon as possible.",18,10,16,1.6
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,gal 1 túg 8.66666 ma-na ša a-šur-du10 ta-am-ší-ma áš-qúl,"you forgot 1 textile worth 8 2/3 minas belonging to aššur-lab, so i paid.",18,9,14,1.556
19814b8c-594e-4da3-9611-fa41b6697ed0,excavation_match,Kt c/k 766,gín kù.babbar né-nu ni-il5-qé a-na ú-ku-ul-tí-ni,we took 10 shekels of silver for our food.,18,6,9,1.5
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,<gap> šu-ma i-na li-bi4-kà lá i-šu-ú 16 gín.ta an.na,"if they have no claims on you, they must repay you in tin at the rate 16:1.",18,9,17,1.889
19814b8c-594e-4da3-9611-fa41b6697ed0,excavation_match,Kt c/k 766,0.5 ma-na urudu a-na na-sí-sà-tim,half a mina of copper for garments.,18,5,7,1.4
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,um-ma a-šùr-i-dí-ma a-na a-mur-ištar a-la-ḫi-im ì-lí-a-lim ù a-šùr-ta-ak-lá-ku qí-bi4-ma 2 gú 1 ma-na an.na-ki ku-nu-ku 38 túg.ḫi.a,"from aššur-idi to amur-istar, ala.hum, ili-alum and aššur-taklaku: talents 10 minas of tin under seal (and) 38 textiles usur-sa-aššur has brought to you.",18,17,23,1.353
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,kù.babbar ištar-pì-lá-aḫ tù-šé-bi4-lam 1 ma-na 0.5,i took 1 mina 1/2 shekel out of what belongs to sn-istar.,18,6,12,2.0
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,dumu ir-nu-id a-ší-tám šu.nígin 2.83333 ma-na 7.66666 gín ṣa-ḫe-er-ma ší-tí,"in all: 2 5/6 minas 7 1/3 shekels have been deducted, so the rest of your silver is 1/6 shekels.",18,10,20,2.0
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,li-dí-in-ma kù.babbar lu-šé-bi-lam la ú-wa-šar a-pu-tum a-na i-ta-aṭ-li-im lu-qú-tám dì-in-ma mì-iš-li-šu kù.babbar,"he must not release it (on credit)."" please, sell the goods for cash on delivery and send me his half of the silver raised.",18,12,24,2.0
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,li-bi4-kà a-ší-tám um-ma a-ta-ma kù.babbar lá-qé am-ší-ma lá ak-nu-kà-šu kù.babbar i qá-tí-a lá-šu-ma,"you said: ""the silver has been taken."" but i forgot to seal it, (and) since i have no silver available to me i have taken it.",18,13,26,2.0
66f1aadc-9fdb-425b-af11-ba944cc9c683,excavation_match,Kt c/k 216,<gap> i-<gap> ga <gap> 0.66666 <gap> 0.66666 <gap> 10 gín <gap> a ma-lá <gap> a ki-ra-nim 3 gín an.na,"[...] for wine. 3 shekels of tin, 5 dulbatum and sundries for panaka. 5 dulbatum and sundries for enlil-bāni in humahum.",18,19,21,1.105
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,mì-ma la ta-na-ší ù šu-ma i-qí-šu-ni-kum,even if they are ready to give it as a gift you must not take any!,18,6,16,2.667
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",a-ta li-bi4 lá tù-lá-ma-an šu-ma {d}utu-ba-ni lá-šu 1 ma-na kù me-eḫ-ra-tim i-dí-ma,"if samas-bàni is absent, then make available a corresponding amount of 1 mina of silver and send it to me.",17,12,20,1.667
d60df513-c13c-44d3-961c-27e98700a132,archive_alias,KUG 48,<gap> i-na ḫa-ar-pè iš-tí a-šur-ma-lik tí-ib-a-ma a-tal-kam šu-ma an.na a-na e-bu-ṭim ta-al-tí-qí-i a-na u4-me i-ṣé-er dam.gàr i-dí-šu a-pu-tum ì-lí-a-lúm,"please, free yourself of claims, set out and come at harvest time together with aššur-malik if you have taken tin as an investment loan, then give it in commission to agents on fixed terms.",17,19,34,1.789
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,a-wa-tim ip-tù-a-kà um-ma a-ta-ma ma-lá i-na é a-bi-kà i-ṣé-ri-a i-lá-qé-ú-ni i-na ṣé-ri-kà a-lá-qé ṭup-pá-kà ù ší-bi-kà da-ni-in,"you should answer: ""whatever they will take at my expense in your father's house, i shall take at your expense!"" see to it that your tablet and your witnesses are in order!",17,17,32,1.882
a14e6a2d-0a8c-417c-829e-40d0fa91e98d,archive_alias,RC 1749B,dí-na mì-ma a-nim a-lá-ḫu-um na-áš-a-ku-nu-tí,alâhum is on his way to you with all this.,17,5,10,2.0
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",lu 35 ḫa-am-ša-tim lu-up-ta ṭup-pu-šu ḫi-ir-ma-ma,certify his tablet and entrust it to aššur-nâdâ.,17,6,8,1.333
be755b54-1e34-4ef1-b136-000cd0330ce7,excavation_match,Kt c/k 399,ba-bi4-im a-dí-in 5 gín an.na i-nu-mì a-na ší-ip-ru-tim a-li-ku áš-qú-ul 3 gín kù.babbar i-na bu-ra-lim iš-tù ni-kà-sú-ni ša-sí-ú-ni a-na kà-ra-nim áš-qú-ul,i paid 5 shekels of tin when i went on a mission. shekels of silver i paid in burallum for wine after our accounts had been settled.,17,21,27,1.286
66f1aadc-9fdb-425b-af11-ba944cc9c683,excavation_match,Kt c/k 216,a-šar e-ma-ru-ni i-zi-zu-ni i-ḫu-ma-ḫi-im 15 gín urudu i,half a mina of copper to the massu’um of ašihum.,17,8,10,1.25
f49dcb4a-246f-a124-1b49-baf06a276bc8,archive_alias,"Cct 3, 5a",mì-ma a-nim a-šùr-ta-ak-la-ku i-ra-dì-a-kum gám-ra-kum,aššwt-taklâku brings all this to you.,17,5,6,1.2
e1b37ff6-1fe1-4d64-96de-9167ebd74e94,excavation_match,Kt c/k 470+767,a ga-lá-bi4-im 1 ma-na 10 gín,one-third mina of copper to inib-aššur.,17,6,6,1.0
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",a-na a-šùr-ta-ak-lá-ku qí-bi4-ma 3 ma-na 12 gín,to aššur-taklâku: deliver 3 minas 12 shekels of tin to the enterprise.,16,7,12,1.714
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",um-ma a-šùr-i-dí-ma a-na a-šùr-na-da qí-bi4-ma ki-ma šé-ep {d}iškur ra-pì-dim é-tí ra-ḫi-iṣ,from aššur-idi to aššur-nàdà: as if by the foot of divine adad in full rush my house is devastated!,16,11,19,1.727
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,a-bu-silim ù tap-pá-i-šu al-qé 2.6666600000000003 ma-na 1.25 gín kù.babbar ší-im túg.ḫi.a ša šé-ep en-nam-be-lim i-na,"i still had a claim against you of 2/3 minas 1 1/4 shekels of silver, the proceeds from the sale of the textiles transported by ennam-bélum.",16,15,26,1.733
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",ší-tí túg.ḫi.a a-na ṣé-er a-šùr-na-da,bring the rest of the textiles to aššur-nâdâ.,16,5,8,1.6
f49dcb4a-246f-a124-1b49-baf06a276bc8,archive_alias,"Cct 3, 5a",um-ma a-šùr-i-dì-ma a-na a-šùr-na-da qí-bi-ma 10 ma-na,aššwt-idi to aššwt-nâdâ: you have sent me 10 minas of silver.,16,7,11,1.571
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",gín kù.babbar zu-zu ḫa-bu-la-am 1 ma-na kù.babbar iš-tí {d}utu-ba-ni dumu puzur4.ištar 0.5 ma-na 5 gín kù iš-tí,zuzu owes me 2 minas 13 1/3 shekels of silver. mina of silver is owed by amas-bàni son of puzur-ištar. 1/2 minas 5 shekels of silver is owed by illil-bàni.,16,17,30,1.765
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,šu.nígin urudu 32 ma-na lá 5 gín kù.babbar-áp-šu-nu 0.33333 ma-na lá 0.83333 gín a ší-im túg-tim ù udu.ḫi.a ša ta-am-ší-ú,"the total in copper: 32 minas less shekels, in silver: 1/3 mina less 5/6 shekels, i have paid as the price of the textile and the sheep which you forgot about.",16,20,31,1.55
a14e6a2d-0a8c-417c-829e-40d0fa91e98d,archive_alias,RC 1749B,kà-ri-im i-ta-dí-a a-na ì-lí-a-lim qí-bi-ma lu-qú-ut-kà lu pá-ni-tám lu wa-ar-ki-tám za-ki-am-ma,"to ili-âlum: clear your merchandise, both the new and the earlier shipment, set out and come here.",16,11,17,1.545
a14e6a2d-0a8c-417c-829e-40d0fa91e98d,archive_alias,RC 1749B,tí-ib-am-ma a-tal-kam a-pu-tum i-nu-mì kù.babbar ša a-lim{ki} iš-ta-pu-ku-ni qá-tám i-a-tám ù ša a-šur-na-da,"please, when they make deposits of silver belonging to the city, pay both my share and that of aššur-nâdâ. u.e.",16,13,20,1.538
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,me-ra-šu-ma lu-qú-tám dí-nam a-na a-wa-at é a-bi-a ma-aṣ-a-ku ma-a i-na,"i shall be responsible for the affairs of my father's house!"" —why, then he deprived you with words.",16,10,18,1.8
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,áš-qúl 1-<gap> gín iš-tù ša-du-a-at kù.babbar-pì-kà ša šé-ep be-lí-a-lim ù dumu ku-um-ri-im a-pu-ul 3 lá 0.25,i paid as compensation 1 [+ x] shekels after the transport tariff on your silver transported by béli-âlum and the son of the priest.,16,16,24,1.5
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,i-ta-dí-a ṣí-tí túg.ḫi-tí-a ù 2 gú an.na a-na a-šùr-ta-ak-lá-ku dí-na-ma a-šar kù.babbar 1 gín ba-lá-ṭí-a,"give the rest of my textiles and the 2 talents of tin to aaaur-taldäku, let him bring that to where there is even a small profit for me.",16,15,28,1.867
1b609f03-bf0e-4cb8-abd3-54b839848072,archive_alias,POAT 14 | L29-568,mì-ma la ta-lá-qé šu-ma kà-ri-a i-na kù.babbar a-dí-im me-ra-šu i-na ša-ḫa-tí-kà li-zi-iz-ma ṭup-pá-am ša ší-a-ma-tim ší-ta-me-a-ma ší-ma-am dí-na-ma kù.babbar mì-iš-li-šu,"if karria has invested in the silver, then let his son assist you, and listen carefully to the letter concerning the purchases, sell the consignment and place his half of the silver under seal, and send it here.",16,20,38,1.9
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",um-ma a-šùr-i-dí-ma a-na ì-lí-sukkal ù a-šùr-ta-ak-lá-ku qí-bi4-ma a-na ì-lí-šu-gan qí-bi4-ma ma-áš-ki ša-pá-tim,from aššur-idi to ili-sukkal and aššur-taklâku: (specifically) to ill-sukkal: i gave you some woollen fleeces.,16,12,15,1.25
